Időszak 	 Nyereség
1	11940,0000
2	12760,0000
3	9750,0000
4	9330,0000
5	8950,0000
6	1350,0000
7	-17850,0000
8	-20490,0000
9	-11530,0000
10	-6550,0000
11	-10520,0000
12	-9000,0000
13	-3900,0000
14	-5850,0000
15	-3090,0000
16	-1460,0000
17	1050,0000
18	-2880,0000
19	-2230,0000
20	-7350,0000
21	-11630,0000
22	-7790,0000
23	-14730,0000
24	-15950,0000
25	-16240,0000
26	-17550,0000
27	-11750,0000
28	-15050,0000
29	-11000,0000
30	-6840,0000
31	-11000,0000
32	-11560,0000
33	-7260,0000
34	70,0000
35	-590,0000
36	7780,0000
37	26400,0000
38	26420,0000
39	16420,0000
40	12070,0000
41	12070,0000
42	12070,0000
43	6700,0000
44	3480,0000
45	4130,0000
46	4610,0000
47	5040,0000
48	8100,0000
49	7600,0000
50	15950,0000
51	17830,0000
52	14670,0000
53	12930,0000
54	15030,0000
55	15030,0000
56	20150,0000
57	17260,0000
58	20300,0000
59	17060,0000
60	14810,0000
61	14970,0000
62	20810,0000
63	19760,0000
64	11430,0000
65	14490,0000
66	16220,0000
67	16800,0000
68	17380,0000
69	10430,0000
70	10180,0000
71	17810,0000
72	17310,0000
73	15650,0000
74	20820,0000
75	17360,0000
76	18210,0000
77	11560,0000
78	11400,0000
79	10330,0000
80	9500,0000
81	11900,0000
82	11900,0000
83	11160,0000
84	9830,0000
85	9910,0000
86	-5850,0000
87	-8260,0000
88	-8000,0000
89	-7510,0000
90	-11570,0000
91	-13690,0000
92	-21100,0000
93	-20850,0000
94	-16450,0000
95	-18850,0000
96	-21350,0000
97	-21050,0000
98	-21550,0000
99	-14550,0000
100	-18600,0000
101	-16170,0000
102	-15670,0000
103	-13740,0000
104	-13740,0000
105	-15400,0000
106	-22780,0000
107	-13500,0000
108	-19000,0000
109	-17430,0000
110	-19830,0000
111	-16750,0000
112	-12970,0000
113	-14540,0000
114	-14710,0000
115	-13640,0000
116	-3000,0000
117	-3500,0000
118	-4990,0000
119	-4270,0000
120	1560,0000
121	2510,0000
122	4640,0000
123	5440,0000
124	2040,0000
125	5050,0000
126	5380,0000
127	3200,0000
128	3350,0000
129	-5040,0000
130	-740,0000
131	-10800,0000
132	-11110,0000
133	-7560,0000
134	-9100,0000
135	-8020,0000
136	-660,0000
137	-3290,0000
138	-690,0000
139	3850,0000
140	2650,0000
141	-280,0000
142	-13110,0000
143	-14150,0000
144	-12650,0000
145	-13800,0000
146	-9900,0000
147	-10320,0000
148	-6710,0000
149	-8460,0000
150	-13750,0000
151	-12580,0000
152	-13140,0000
153	-12950,0000
154	-13360,0000
155	-15750,0000
156	-15630,0000
157	-10980,0000
158	-10630,0000
159	-2290,0000
160	-2020,0000
161	-8210,0000
162	-9550,0000
163	-11550,0000
164	-11910,0000
165	-11330,0000
166	-12160,0000
167	-9360,0000
168	-8090,0000
169	-10610,0000
170	-9220,0000
171	-7980,0000
172	1070,0000
173	4420,0000
174	3060,0000
175	1720,0000
176	-2500,0000
177	-1470,0000
178	-6750,0000
179	-5720,0000
180	-2200,0000
181	-4900,0000
182	-3700,0000
183	-1060,0000
184	-1980,0000
185	-380,0000
186	-830,0000
187	-3600,0000
188	-2520,0000
189	-2120,0000
190	-1450,0000
191	6140,0000
192	6900,0000
193	5350,0000
194	7250,0000
195	9280,0000
196	7860,0000
197	-2320,0000
198	5030,0000
199	1660,0000
200	1470,0000
201	80,0000
202	4790,0000
203	6180,0000
204	5240,0000
205	7470,0000
206	11550,0000
207	10940,0000
208	14100,0000
209	12990,0000
210	12170,0000
211	15020,0000
212	14610,0000
213	15070,0000
214	16400,0000
215	14180,0000
216	15030,0000
217	14180,0000
218	13350,0000
219	14220,0000
220	15540,0000
221	14140,0000
222	15030,0000
223	13260,0000
224	11240,0000
225	9720,0000
226	13430,0000
227	19670,0000
228	11050,0000
229	12400,0000
230	10600,0000
231	11900,0000
232	7850,0000
233	5150,0000
234	6950,0000
235	6060,0000
236	2300,0000
237	1500,0000
238	1580,0000
239	4050,0000
240	2780,0000
241	7210,0000
242	6420,0000
243	3130,0000
244	3380,0000
245	3810,0000
246	1630,0000
247	3750,0000
248	3950,0000
249	2680,0000
250	420,0000
251	-890,0000
252	-280,0000
253	-670,0000
254	-340,0000
255	400,0000
256	-1890,0000
257	-750,0000
258	-910,0000
259	-810,0000
260	900,0000
261	1340,0000
262	90,0000
263	1400,0000
264	190
